experiment,proportions,p_opt,p_alt,p_rand,epsilon,convergence,conv_dist,final_reward,v_gap,q_gap,path_len
B_epsilon,80/20/0,0.8,0.2,0.0,0.0,1,0.0,-3.3981183439910416,11.720073690345899,10.557528459420354,78
B_epsilon,80/20/0,0.8,0.2,0.0,0.05,0,39.44616584663204,-0.4242712262169425,49.44756621141834,45.31117386271869,500
B_epsilon,80/20/0,0.8,0.2,0.0,0.1,0,47.80167361086848,-1.7392708287370844,37.172006583660384,34.350613837480886,500
B_epsilon,80/20/0,0.8,0.2,0.0,0.2,0,47.80167361086848,1.1071845444638415,74.26661500321272,68.59876688383225,500
B_epsilon,80/20/0,0.8,0.2,0.0,0.3,0,47.80167361086848,0.3481209832719482,66.3145648102627,61.40578025207415,500
B_epsilon,80/20/0,0.8,0.2,0.0,0.5,0,47.20169488482379,2.9605302685865005,107.23481520544571,99.71362136194263,500
B_epsilon,70/20/10,0.7,0.2,0.1,0.0,0,17.204650534085253,-2.1655537506231437,26.258097676292497,23.86298785199905,500
B_epsilon,70/20/10,0.7,0.2,0.1,0.05,0,47.20169488482379,1.0703179598367494,68.03764937806635,62.40666784331303,500
B_epsilon,70/20/10,0.7,0.2,0.1,0.1,0,47.80167361086848,1.834641392619903,77.60220916351929,71.20690419598279,500
B_epsilon,70/20/10,0.7,0.2,0.1,0.2,0,46.87216658103186,2.751856141567264,96.17984707836706,88.86732736188321,500
B_epsilon,70/20/10,0.7,0.2,0.1,0.3,0,47.20169488482379,3.2048332898418654,98.21381918758574,90.44832232282731,500
B_epsilon,70/20/10,0.7,0.2,0.1,0.5,0,48.010415536631214,3.037094071238776,99.41662621211137,91.81886856595598,500
B_epsilon,60/20/20,0.6,0.2,0.2,0.0,0,46.32493928760188,0.3737089904977095,57.35392290580708,52.41955034039278,500
B_epsilon,60/20/20,0.6,0.2,0.2,0.05,0,46.87216658103186,1.8507694168985969,76.07760541474522,69.66617242293003,500
B_epsilon,60/20/20,0.6,0.2,0.2,0.1,0,43.382023926967726,2.1219807524474743,83.20240553586056,76.51976120849649,500
B_epsilon,60/20/20,0.6,0.2,0.2,0.2,0,47.43416490252569,2.298612360100145,88.5322450279084,81.6729690928917,500
B_epsilon,60/20/20,0.6,0.2,0.2,0.3,0,46.87216658103186,2.824578753526166,98.23512253349078,90.84988020504804,500
B_epsilon,60/20/20,0.6,0.2,0.2,0.5,0,47.43416490252569,3.134380193588882,92.51260291483896,84.81755914633351,500
