problem,ablation,beta_update,T,alpha,eta,rho,theta_lambda,theta_lr,theta_inner_steps,policy_optimizer,policy_gradient,reinforce_samples,fisher_damping,cg_iters,cg_tol,state_weight_update,dataset_path,theta_mode,theta_optimizer,theta_start_mode,theta_include_beta_cov,num_trajectories,max_steps,seed,device,status,error,solver_success_rate,greedy_success_rate,solver_avg_reward,greedy_avg_reward,elapsed_seconds,run_idx
deterministic,adam_exact_baseline,fogas_full,1000,0.001,0.0001,0.05,0.001,0.3,40,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.53,1.0,0.3685999999999999,0.9300000000000002,14.984311426000204,1
deterministic,adam_reinforce_samples,fogas_full,1000,0.001,0.0001,0.05,0.001,0.3,40,adam,reinforce,64,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.53,1.0,0.3685999999999999,0.9300000000000002,799.8925705329748,26
deterministic,adam_reinforce_samples,fogas_full,1000,0.001,0.0001,0.05,0.001,0.3,40,adam,reinforce,16,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.52,1.0,0.3572999999999999,0.9300000000000002,224.4051979679498,23
deterministic,adam_reinforce_samples,fogas_full,1000,0.001,0.0001,0.05,0.001,0.3,40,adam,reinforce,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.51,1.0,0.3465999999999999,0.9300000000000002,54.78336235199822,18
deterministic,adam_reinforce_samples,fogas_full,1000,0.001,0.0001,0.05,0.001,0.3,40,adam,reinforce,1,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.46,1.0,0.2935,0.9300000000000002,49.01007482397836,16
stochastic,npg_exact_alpha,fogas_full,1000,0.03,0.0001,1.0,0.0001,0.03,40,npg,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid_stochastic.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.07,0.22,-1.9308500000000006,-1.5870500000000005,60.63314144901233,21
stochastic,npg_exact_alpha,fogas_full,1000,0.01,0.0001,1.0,0.0001,0.03,40,npg,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid_stochastic.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.1,0.01,-1.8984000000000003,-2.0684000000000005,59.028929456020705,20
stochastic,npg_exact_alpha,fogas_full,1000,0.003,0.0001,1.0,0.0001,0.03,40,npg,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid_stochastic.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.08,0.0,-1.9391500000000006,-2.049550000000001,56.70691241300665,19
stochastic,npg_exact_alpha,fogas_full,1000,0.001,0.0001,1.0,0.0001,0.03,40,npg,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid_stochastic.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.06,0.0,-1.9698500000000003,-2.0045000000000006,52.521265408955514,17
deterministic,npg_exact_alpha,fogas_full,1000,0.003,0.0001,0.05,0.001,0.3,40,npg,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.04,0.0,-0.15780000000000002,-0.2,39.91572674299823,11
deterministic,npg_exact_alpha,fogas_full,1000,0.03,0.0001,0.05,0.001,0.3,40,npg,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.04,0.0,-0.15839999999999999,-0.2,39.32444350095466,9
stochastic,npg_exact_alpha,fogas_full,1000,0.0003,0.0001,1.0,0.0001,0.03,40,npg,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid_stochastic.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.04,0.0,-1.9730000000000003,-2.0009,48.87670549697941,15
deterministic,npg_exact_alpha,fogas_full,1000,0.01,0.0001,0.05,0.001,0.3,40,npg,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.03,0.0,-0.16870000000000002,-0.2,36.960722573974635,4
deterministic,npg_exact_alpha,fogas_full,1000,0.001,0.0001,0.05,0.001,0.3,40,npg,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.02,0.0,-0.17869999999999997,-0.2,38.30422167602228,7
deterministic,npg_exact_alpha,fogas_full,1000,1e-05,0.0001,0.05,0.001,0.3,40,npg,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.02,0.0,-0.1788,-0.2,35.70006745500723,3
deterministic,npg_exact_alpha,fogas_full,1000,0.0003,0.0001,0.05,0.001,0.3,40,npg,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.02,0.0,-0.1788,-0.2,37.70566386898281,5
deterministic,npg_exact_alpha,fogas_full,1000,0.0001,0.0001,0.05,0.001,0.3,40,npg,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.02,0.0,-0.1788,-0.2,37.85079089499777,6
deterministic,npg_exact_alpha,fogas_full,1000,3e-05,0.0001,0.05,0.001,0.3,40,npg,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.02,0.0,-0.1788,-0.2,38.419439517951105,8
stochastic,npg_exact_alpha,fogas_full,1000,3e-05,0.0001,1.0,0.0001,0.03,40,npg,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid_stochastic.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.02,0.0,-2.0024500000000005,-1.9966500000000007,46.80201293999562,13
stochastic,npg_exact_alpha,fogas_full,1000,0.0001,0.0001,1.0,0.0001,0.03,40,npg,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid_stochastic.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.02,0.0,-1.9986500000000005,-2.0004500000000007,47.01616084796842,14
stochastic,npg_exact_alpha,fogas_full,1000,1e-05,0.0001,1.0,0.0001,0.03,40,npg,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid_stochastic.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.01,0.0,-1.9926000000000008,-1.9950500000000009,46.428309550043195,12
stochastic,adam_exact_baseline,fogas_full,1000,0.001,0.0001,1.0,0.0001,0.03,40,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid_stochastic.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.01,0.0,-1.997,-2.0009,15.645584500045516,2
stochastic,adam_reinforce_samples,fogas_full,1000,0.001,0.0001,1.0,0.0001,0.03,40,adam,reinforce,64,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid_stochastic.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.01,0.0,-1.997,-2.0009,788.1407103069942,25
stochastic,adam_reinforce_samples,fogas_full,1000,0.001,0.0001,1.0,0.0001,0.03,40,adam,reinforce,1,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid_stochastic.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.0,0.0,-2.0091,-2.0004500000000007,39.82336164399749,10
stochastic,adam_reinforce_samples,fogas_full,1000,0.001,0.0001,1.0,0.0001,0.03,40,adam,reinforce,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid_stochastic.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.0,0.0,-2.0181,-2.0004500000000007,73.00364571501268,22
stochastic,adam_reinforce_samples,fogas_full,1000,0.001,0.0001,1.0,0.0001,0.03,40,adam,reinforce,16,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid_stochastic.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.0,0.0,-2.0119000000000002,-2.0009,235.36031244101468,24
