lr,batch_size,optimizer,weight_decay,best_val_acc,test_acc
0.0003,16,adamw,0.0001,89.6,92.75
0.0003,16,adamw,0.0,88.8,91.6
0.0003,16,adam,0.0,88.3,92.0
0.0003,32,adamw,0.0,88.25,90.7
0.0003,32,adam,0.0,87.9,91.2
0.0003,32,adamw,0.0001,87.7,90.15
0.0003,16,adam,0.0001,86.9,91.4
0.0003,32,adam,0.0001,86.7,88.7
0.001,16,adam,0.0001,86.3,88.35
0.001,16,adam,0.0,85.85,88.45
0.001,16,adamw,0.0,85.85,88.7
0.001,16,adamw,0.0001,85.55,87.75
0.003,16,adam,0.0,85.25,88.15
0.003,32,adam,0.0,84.85,86.95
0.001,32,adamw,0.0,84.65,86.7
0.003,16,adamw,0.0,84.6,88.0
0.003,16,adamw,0.0001,84.4,86.25
0.003,32,adamw,0.0,84.3,85.65
0.001,32,adamw,0.0001,84.25,87.0
0.001,32,adam,0.0,84.2,81.55
0.001,32,adam,0.0001,84.15,86.9
0.003,32,adamw,0.0001,83.6,87.8
0.003,32,adam,0.0001,76.6,80.3
0.003,16,adam,0.0001,72.9,67.9
