n_centers,state_mode,ridge,sigma_mult,converged
72,standard,1e-06,0.8,True
71,standard,1e-06,0.8,False
71,standard,1e-06,1.0,False
71,standard,1e-06,1.2,False
71,standard,1e-06,1.5,False
71,standard,1e-06,2.0,False
71,standard,1e-05,0.8,False
71,standard,1e-05,1.0,False
71,standard,1e-05,1.2,False
71,standard,1e-05,1.5,False
71,standard,1e-05,2.0,False
71,standard,0.0001,0.8,False
71,standard,0.0001,1.0,False
71,standard,0.0001,1.2,False
71,standard,0.0001,1.5,False
71,standard,0.0001,2.0,False
71,standard,0.001,0.8,False
71,standard,0.001,1.0,False
71,standard,0.001,1.2,False
71,standard,0.001,1.5,False
71,standard,0.001,2.0,False
71,standard,0.01,0.8,False
71,standard,0.01,1.0,False
71,standard,0.01,1.2,False
71,standard,0.01,1.5,False
71,standard,0.01,2.0,False
71,standard,0.1,0.8,False
71,standard,0.1,1.0,False
71,standard,0.1,1.2,False
71,standard,0.1,1.5,False
71,standard,0.1,2.0,False
71,standard,1.0,0.8,False
71,standard,1.0,1.0,False
71,standard,1.0,1.2,False
71,standard,1.0,1.5,False
71,standard,1.0,2.0,False
71,no_pit,1e-06,0.8,False
71,no_pit,1e-06,1.0,False
71,no_pit,1e-06,1.2,False
71,no_pit,1e-06,1.5,False
71,no_pit,1e-06,2.0,False
71,no_pit,1e-05,0.8,False
71,no_pit,1e-05,1.0,False
71,no_pit,1e-05,1.2,False
71,no_pit,1e-05,1.5,False
71,no_pit,1e-05,2.0,False
71,no_pit,0.0001,0.8,False
71,no_pit,0.0001,1.0,False
71,no_pit,0.0001,1.2,False
71,no_pit,0.0001,1.5,False
71,no_pit,0.0001,2.0,False
71,no_pit,0.001,0.8,False
71,no_pit,0.001,1.0,False
71,no_pit,0.001,1.2,False
71,no_pit,0.001,1.5,False
71,no_pit,0.001,2.0,False
71,no_pit,0.01,0.8,False
71,no_pit,0.01,1.0,False
71,no_pit,0.01,1.2,False
71,no_pit,0.01,1.5,False
71,no_pit,0.01,2.0,False
71,no_pit,0.1,0.8,False
71,no_pit,0.1,1.0,False
71,no_pit,0.1,1.2,False
71,no_pit,0.1,1.5,False
71,no_pit,0.1,2.0,False
71,no_pit,1.0,0.8,False
71,no_pit,1.0,1.0,False
71,no_pit,1.0,1.2,False
71,no_pit,1.0,1.5,False
71,no_pit,1.0,2.0,False
71,no_pit_no_goal,1e-06,0.8,False
71,no_pit_no_goal,1e-06,1.0,False
71,no_pit_no_goal,1e-06,1.2,False
71,no_pit_no_goal,1e-06,1.5,False
71,no_pit_no_goal,1e-06,2.0,False
71,no_pit_no_goal,1e-05,0.8,False
71,no_pit_no_goal,1e-05,1.0,False
71,no_pit_no_goal,1e-05,1.2,False
71,no_pit_no_goal,1e-05,1.5,False
71,no_pit_no_goal,1e-05,2.0,False
71,no_pit_no_goal,0.0001,0.8,False
71,no_pit_no_goal,0.0001,1.0,False
71,no_pit_no_goal,0.0001,1.2,False
71,no_pit_no_goal,0.0001,1.5,False
71,no_pit_no_goal,0.0001,2.0,False
71,no_pit_no_goal,0.001,0.8,False
71,no_pit_no_goal,0.001,1.0,False
71,no_pit_no_goal,0.001,1.2,False
71,no_pit_no_goal,0.001,1.5,False
71,no_pit_no_goal,0.001,2.0,False
71,no_pit_no_goal,0.01,0.8,False
71,no_pit_no_goal,0.01,1.0,False
71,no_pit_no_goal,0.01,1.2,False
71,no_pit_no_goal,0.01,1.5,False
71,no_pit_no_goal,0.01,2.0,False
71,no_pit_no_goal,0.1,0.8,False
71,no_pit_no_goal,0.1,1.0,False
71,no_pit_no_goal,0.1,1.2,False
71,no_pit_no_goal,0.1,1.5,False
71,no_pit_no_goal,0.1,2.0,False
71,no_pit_no_goal,1.0,0.8,False
71,no_pit_no_goal,1.0,1.0,False
71,no_pit_no_goal,1.0,1.2,False
71,no_pit_no_goal,1.0,1.5,False
71,no_pit_no_goal,1.0,2.0,False
