experiment,n_uniform,coverage,n_unvisited_pairs,total_aug_rows,total_dataset_size,convergence,conv_dist,final_reward,v_gap,q_gap,path_len
A_augmentation,1,0.2,889,889,70889,1,0.0,-2.7537514164568604,17.53220989291803,15.725297734458305,78
A_augmentation,2,0.2,889,1778,71778,1,0.0,-2.4841627957446955,20.6502954424065,18.5737946632346,78
A_augmentation,4,0.2,889,3556,73556,1,0.0,-2.1821663095487964,25.086939850526456,22.70844258515866,78
A_augmentation,8,0.2,889,7112,77112,0,17.204650534085253,-1.8840438787681026,30.9905732547927,28.313953558644208,500
A_augmentation,1,0.4,1778,1778,71778,1,0.0,-2.110646932731355,24.23129439521286,21.781277753027613,78
A_augmentation,2,0.4,1778,3556,73556,1,0.0,-1.190580212007139,35.662907600984205,32.29282423807476,78
A_augmentation,4,0.4,1778,7112,77112,0,43.382023926967726,-0.010791987645127848,51.714879914372084,47.16500832710062,500
A_augmentation,8,0.4,1778,14224,84224,0,43.382023926967726,0.6331402727256303,62.520580075454426,57.3267762278122,500
A_augmentation,1,0.6,2667,2667,72667,1,0.0,-1.4274890832733442,32.58443836496181,29.45126387331857,78
A_augmentation,2,0.6,2667,5334,75334,0,43.382023926967726,-0.09176702887296441,50.197545413175504,45.72864886713189,500
A_augmentation,4,0.6,2667,10668,80668,0,43.382023926967726,0.608285633087479,61.66900486934061,56.50005566133653,500
A_augmentation,8,0.6,2667,21336,91336,0,43.382023926967726,0.7981656881243279,66.9797300023017,61.62090073926079,500
A_augmentation,1,0.8,3556,3556,73556,1,0.0,-0.9964612933260832,38.13398926999016,34.56978698839964,78
A_augmentation,2,0.8,3556,7112,77112,0,43.382023926967726,0.1740793126468908,54.20675474406346,49.472011856499975,500
A_augmentation,4,0.8,3556,14224,84224,0,43.382023926967726,0.6220226945071857,62.43683254627311,57.25414627684933,500
A_augmentation,8,0.8,3556,28448,98448,0,43.382023926967726,0.8987217438037259,68.2458864161735,62.786501097453225,500
A_augmentation,1,1.0,4446,4446,74446,1,0.0,-0.6130564522839771,42.985387885111635,39.037780762479,78
A_augmentation,2,1.0,4446,8892,78892,0,43.382023926967726,0.34270310768878476,56.82205515391106,51.91868847130569,500
A_augmentation,4,1.0,4446,17784,87784,0,43.382023926967726,0.6617702551407263,63.401814415165894,58.17938058510857,500
A_augmentation,8,1.0,4446,35568,105568,0,43.382023926967726,1.0369844788552323,68.79887141329336,63.20122335952153,500
