alpha,rho,eta,reward,reached_goal,final_dist_to_goal,path_length
1e-05,0.005,0.0001,0.10268864325323286,False,98,200
1e-05,0.005,0.0005,0.046560534686588384,False,98,200
1e-05,0.005,0.001,0.06567317820637208,False,98,200
1e-05,0.005,0.005,0.08003183510562042,False,98,200
1e-05,0.005,0.01,0.08305356062399014,False,98,200
1e-05,0.005,0.05,0.15921021037967997,False,98,200
1e-05,0.005,0.1,0.2576259280524718,False,98,200
1e-05,0.005,0.5,0.171940174503664,False,56,200
1e-05,0.05,0.0001,0.09981733226748897,False,98,200
1e-05,0.05,0.0005,0.0564358857757959,False,98,200
1e-05,0.05,0.001,0.08051072283101543,False,98,200
1e-05,0.05,0.005,0.17722970686016323,False,98,200
1e-05,0.05,0.01,0.3368774604629357,False,98,200
1e-05,0.05,0.05,0.20225748253332387,False,56,200
1e-05,0.05,0.1,0.20890145873979155,False,56,200
1e-05,0.05,0.5,0.3987917715801914,False,56,200
1e-05,0.5,0.0001,0.10014417355256602,False,56,200
1e-05,0.5,0.0005,0.1744198859140664,False,98,200
1e-05,0.5,0.001,0.43357157748395325,False,98,200
1e-05,0.5,0.005,0.43809149747588283,False,56,200
1e-05,0.5,0.01,0.3661502785881051,False,56,200
1e-05,0.5,0.05,0.43501097682915224,False,56,200
1e-05,0.5,0.1,0.2546013229493956,False,56,200
1e-05,0.5,0.5,0.1160492585552924,False,56,200
1e-05,1.0,0.0001,0.11219373821585711,False,56,200
1e-05,1.0,0.0005,0.347721929905209,False,56,200
1e-05,1.0,0.001,0.6233741802666375,False,56,200
1e-05,1.0,0.005,0.49258032253074346,False,56,200
1e-05,1.0,0.01,0.43757633370928806,False,56,200
1e-05,1.0,0.05,0.26509941694778155,False,56,200
1e-05,1.0,0.1,0.14556611886685938,False,56,200
1e-05,1.0,0.5,0.15180970744320646,False,56,200
1e-05,5.0,0.0001,0.10235673584497627,False,56,200
1e-05,5.0,0.0005,0.884375407389552,False,56,200
1e-05,5.0,0.001,0.8018574018350247,False,56,200
1e-05,5.0,0.005,0.7134334983153008,False,56,200
1e-05,5.0,0.01,0.36744213349332594,False,56,200
1e-05,5.0,0.05,0.11367467980095293,False,56,200
1e-05,5.0,0.1,0.15039963729659217,False,56,200
1e-05,5.0,0.5,0.24520263953247667,False,56,200
1e-05,10.0,0.0001,0.19703691214836314,False,56,200
1e-05,10.0,0.0005,0.9170493002910428,False,56,200
1e-05,10.0,0.001,0.8157338542257381,False,56,200
1e-05,10.0,0.005,0.5024809154592792,False,56,200
1e-05,10.0,0.01,0.17136177139589812,False,56,200
1e-05,10.0,0.05,0.1491223388722183,False,56,200
1e-05,10.0,0.1,0.20110916142404597,False,56,200
1e-05,10.0,0.5,0.25377982518354475,False,56,200
5e-05,0.005,0.0001,0.010663201214531822,False,56,200
5e-05,0.005,0.0005,0.0100014336618102,False,56,200
5e-05,0.005,0.001,0.010000737450758175,False,98,200
5e-05,0.005,0.005,0.010019939430893974,False,98,200
5e-05,0.005,0.01,0.010130792069203283,False,98,200
5e-05,0.005,0.05,0.014726557468304426,False,98,200
5e-05,0.005,0.1,0.03397508475186168,False,98,200
5e-05,0.005,0.5,0.21783725960892178,False,98,200
5e-05,0.05,0.0001,0.010783996769237152,False,56,200
5e-05,0.05,0.0005,0.010002528083275588,False,56,200
5e-05,0.05,0.001,0.010003392234812806,False,56,200
5e-05,0.05,0.005,0.01612550060360563,False,98,200
5e-05,0.05,0.01,0.0488169998635927,False,98,200
5e-05,0.05,0.05,0.3052672609081685,False,98,200
5e-05,0.05,0.1,0.568219626106776,False,98,200
5e-05,0.05,0.5,1.2837708954387532,False,56,200
5e-05,0.5,0.0001,0.01849535025643271,False,56,200
5e-05,0.5,0.0005,0.01920761384043911,False,56,200
5e-05,0.5,0.001,0.029066352136248894,False,56,200
5e-05,0.5,0.005,0.09796978138581335,False,56,200
5e-05,0.5,0.01,0.5242234393966705,False,56,200
5e-05,0.5,0.05,1.3851990646516719,False,56,200
